pair_id,sample_role,tic_id,target_name,sector_or_product,event_time_btjd,depth_ppm,local_snr,duration_hours,fwhm_hours,ingress_duration_hours,egress_duration_hours,egress_ingress_ratio,skewness,kurtosis,delta_chi2_asym,n_points_window,edge_event,single_point_like,detector_version,n_lc_points
4,control,257502302,TIC 257502302,TIC 257502302,2450.2113216493167,1983.2253456115723,3.665849565512047,0.06666984301409684,0.03221980986199924,0.03333491591911297,0.03333492709498387,1.0000003352602096,-0.33294691123901626,0.35467294773247504,-23.794401175086705,719,False,False,phase3_v1,11275
5,target,194503676,sig And,TIC 194503676,1768.0560128364082,616.3120269775391,3.427142237340538,0.06666667124954984,0.03277679784332577,0.033333341212710366,0.03333333003683947,0.9999996647239524,-0.3067273977289251,0.15825567963740328,-4.31588655139376,709,False,False,phase3_v1,13096
5,target,194503676,sig And,TIC 194503676,1767.6851791843733,603.2586097717285,4.104943461613121,0.06666673830477521,0.04185809226510173,0.033333363564452156,0.03333337474032305,1.0000003352758229,-0.31871035917825075,0.6302659435126499,0.7331614236727546,714,False,False,phase3_v1,13096
5,target,194503676,sig And,TIC 194503676,1768.3157351387033,599.205493927002,3.468366038372487,0.06666667124954984,0.03186703565552307,0.033333341212710366,0.03333333003683947,0.9999996647239524,-0.29692886054785056,0.08374246770882632,2.4715081368382243,698,False,False,phase3_v1,13096
5,target,194503676,sig And,TIC 194503676,1778.0212415072124,578.9399147033691,4.666188566094137,0.0666659783837531,0.04123776010783331,0.03333298360121262,0.03333299478254048,1.0000003354433553,-0.17081080574871355,0.3763821131248313,1.9417713312171827,537,False,False,phase3_v1,13096
5,target,194503676,sig And,TIC 194503676,1766.374064807063,548.1243133544922,4.494650017497659,0.10000039246369852,0.051574547942436766,0.033333464147290215,0.0666669283164083,2.0000000006548335,-0.2823925027763844,0.7038638574855471,0.5617448865647248,702,False,False,phase3_v1,13096
5,target,194503676,sig And,TIC 194503676,1765.7587841000045,493.2880401611328,3.6821144626835762,0.06666705126735906,0.04440025866824726,0.03333353121888649,0.033333520048472565,0.9999996648895716,-0.08978149498374295,0.7747648909927021,0.7688808183811489,674,False,False,phase3_v1,13096
5,target,194503676,sig And,TIC 194503676,1768.9240682178208,469.6846008300781,3.109998352648081,0.09999990070900822,0.054418028850705014,0.03333329651468375,0.06666660419432446,2.0000003349490787,-0.0439932339305064,0.13304107657316555,2.3991412624222903,701,False,False,phase3_v1,13096
5,control,266586474,TIC 266586474,TIC 266586474,1348.9067062502845,1106.9774627685547,5.054122406697327,1.266638968801999,0.6401008142347564,0.8333151183978771,0.4333238504041219,0.5199999866043782,-0.28404165854425456,1.6645698630343402,-8.071668979876904,248,False,False,phase3_v1,18136
5,control,266586474,TIC 266586474,TIC 266586474,1347.9942258207675,899.9109268188477,4.0282679931082415,0.29999384496113635,0.2603591572642472,0.0333326494328503,0.26666119552828604,8.00000000196455,-0.5752497686825802,0.4154229790097803,5.150671791638274,407,False,False,phase3_v1,18136
5,control,266586474,TIC 266586474,TIC 266586474,1347.5039582253235,824.5706558227539,4.979138295944087,0.29999384496113635,0.22398427754342265,0.0333326494328503,0.26666119552828604,8.00000000196455,-0.2302561759695885,1.2094979156342003,10.755381491374578,600,False,False,phase3_v1,18136
5,control,266586474,TIC 266586474,TIC 266586474,1349.530303545696,534.743070602417,4.25690738560976,0.09999775831965962,0.046000378373719286,0.0666651759420347,0.03333258237762493,0.4999999160972376,-0.16993534740463326,1.1121537699863078,-53.6235615398283,536,False,False,phase3_v1,18136
5,control,266586474,TIC 266586474,TIC 266586474,1351.4288706658685,497.57957458496094,3.9666423811980396,0.06666507535373967,0.03309931326475635,0.03333253767414135,0.03333253767959832,1.000000000163713,-0.06199755043012155,0.3532939700842004,0.6241056547328299,704,False,False,phase3_v1,18136
5,control,266586474,TIC 266586474,TIC 266586474,1342.7637661987828,459.31339263916016,4.786027433265785,0.06666562296595657,0.02624947251024423,0.03333280589504284,0.033332817070913734,1.0000003352814322,-0.06653895427635301,0.6445068434173438,-3.4904699205546876,721,False,False,phase3_v1,18136
6,control,240644651,TIC 240644651,TIC 240644651,1765.9706780842419,1711.8453979492188,3.845052523256811,0.06666794529883191,0.04394972831141786,0.03333396706148051,0.0333339782373514,1.0000003352697528,-0.09970695139807298,0.1145795882171532,-0.36603893726203296,675,False,False,phase3_v1,13065
6,control,240644651,TIC 240644651,TIC 240644651,1765.5331700449426,1710.7725143432617,4.186685505730371,0.06666794529883191,0.0439221832111798,0.03333396706148051,0.0333339782373514,1.0000003352697528,-0.10401928759889599,0.38029773221014107,1.8964479489108044,673,False,False,phase3_v1,13065
6,control,240644651,TIC 240644651,TIC 240644651,1781.9735699413707,1579.3442726135254,4.619276726247439,0.06666631365987996,0.043805491735838586,0.033333162415146944,0.03333315124473302,0.9999996648858639,-0.1917519820872544,1.0283138573167596,0.012453108186036843,704,False,False,phase3_v1,13065
6,control,240644651,TIC 240644651,TIC 240644651,1782.4527341584387,1546.1444854736328,4.2590774831603895,0.06666631365987996,0.042884645643425756,0.033333162415146944,0.03333315124473302,0.9999996648858639,-0.2810982569319951,0.8528382205699563,-1.7795188917850737,714,False,False,phase3_v1,13065
6,control,240644651,TIC 240644651,TIC 240644651,1769.0276673844853,1427.1140098571777,3.6071771843082687,0.06666748712632398,0.025342449676827528,0.03333374356589047,0.033333743560433504,0.999999999836293,0.29268502188470347,2.0055324724290235,0.5745052112920348,699,False,False,phase3_v1,13065
6,control,240644651,TIC 240644651,TIC 240644651,1767.8582076881642,1401.0369777679443,3.697782518222066,0.06666759884683415,0.032539293004447245,0.033333799423417076,0.033333799423417076,1.0,0.3629879615966733,0.8886373240491183,2.953857649922611,712,False,False,phase3_v1,13065
7,target,37748347,HD 1461,TIC 37748347,1394.5249385434895,705.8382034301758,3.9191950803345637,0.06666573447910196,0.04318081776909821,0.03333287283567188,0.03333286164343008,0.9999996642281074,-0.17515840933219193,0.14757660353394364,2.599502560415658,425,False,False,phase3_v1,12976
